No,Kategori,Judul,Penulis,Tahun,Sumber_Jurnal,DOI_Link,Masalah,Tujuan,Metode,Dataset,Model,Akurasi_Hasil,Gap_Relevansi_TA
1,Internasional,BirdNET: A deep learning solution for avian diversity monitoring,"Kahl, S.; Wood, C. M.; Eibl, M.; Klinck, H.",2021,"Ecological Informatics, 61, 101236",https://doi.org/10.1016/j.ecoinf.2021.101236,Volume rekaman PAM terlalu besar untuk diidentifikasi manual; model sulit menggeneralisasi ke berbagai kondisi geografis/akustik,Mengembangkan sistem klasifikasi suara burung berbasis deep learning yang mudah diterapkan luas termasuk pada rekaman lapangan berderau,CNN (backbone mirip EfficientNet) atas spektrogram klip 3 detik; deteksi segmen bersuara berbasis kekuatan sinyal; augmentasi domain,Jutaan rekaman Xeno-Canto + soundscape (termasuk live-stream Sapsucker Woods),"BirdNET (EfficientNet-like), >6000 kelas termasuk non-burung","Top-1 77.7%, AUC 0.974 (primary prediction); turun signifikan pada domain soundscape",Dasar empiris domain shift focal-soundscape untuk RQ1 & RQ2
2,Internasional,PANNs: Large-Scale Pretrained Audio Neural Networks for Audio Pattern Recognition,"Kong, Q.; Cao, Y.; Iqbal, T.; Wang, Y.; Wang, W.; Plumbley, M. D.",2020,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, 28, 2880-2894",https://arxiv.org/abs/1912.10211,Minimnya penelitian pretraining audio berskala besar yang representasinya dapat ditransfer ke berbagai tugas,Mengusulkan PANNs dan mengevaluasi transferabilitas representasinya ke 6 tugas pengenalan pola audio,Pretraining pada AudioSet (label lemah) memakai berbagai varian CNN termasuk Wavegram-Logmel-CNN,AudioSet (527 kategori peristiwa suara),PANNs / Wavegram-Logmel-CNN,mAP 0.439 (vs baseline Google 0.317),Pembanding embedding generik vs embedding spesifik-burung (BirdNET) untuk RQ1
3,Internasional,BIRB: A Generalization Benchmark for Information Retrieval in Bioacoustics,"Hamer, J.; Triantafillou, E.; Van Merrienboer, B.; Kahl, S.; Klinck, H.; Denton, T.; Dumoulin, V.",2023,arXiv:2312.07439,https://arxiv.org/abs/2312.07439,Belum ada benchmark realistis untuk generalisasi/retrieval pada domain bioakustik (fokus riset generalisasi masih di citra),Menyusun benchmark retrieval vokalisasi burung dari data soundscape berbekal exemplar focal recording,Representation learning + nearest-centroid search; exemplar focal untuk retrieval pada korpus target,Xeno-Canto (upstream) + berbagai dataset soundscape (evaluasi),Baseline representation learning (nearest-centroid),Metrik berbasis retrieval (mAP/precision/recall per subset); lihat tabel lengkap paper,Kerangka metodologis paling dekat dengan skema retrieval TA (RQ1-RQ3); acuan metrik mAP@k/Precision@k/Recall@k
4,Internasional,Domain-Invariant Representation Learning of Bird Sounds,(lihat arXiv),2024,arXiv:2409.08589,https://arxiv.org/abs/2409.08589,Domain shift focal-soundscape mempersulit generalisasi model; SupCon sebelumnya hanya diuji focal-ke-focal,Mengusulkan pembelajaran representasi invarian domain khusus suara burung,ProtoCLR (varian supervised contrastive learning berbasis prototipe kelas),"Split soundscape BIRB (Sierra Nevada, Hawaii, Kolombia, Kosta Rika, dll.)",ProtoCLR vs SupCon,ProtoCLR meningkatkan generalisasi few-shot classification lintas dataset BIRB (angka rinci di tabel paper),Memperkuat argumen kebaruan: cross-domain retrieval tahan derau masih riset aktif
5,Internasional,Overview of BirdCLEF 2021: Bird call identification in soundscape recordings,(Panitia BirdCLEF/LifeCLEF),2021,"CEUR Workshop Proceedings, Vol-2936",https://ceur-ws.org/Vol-2936/paper-123.pdf,Domain gap antara sampel latih focal berkualitas tinggi dan sampel uji soundscape berderau,Melaporkan hasil kompetisi identifikasi panggilan burung pada soundscape edisi 2021,Kompetisi; kombinasi data focal+soundscape berbagai lokasi geografis,"Xeno-Canto + soundscape multi-lokasi (metadata jenis panggilan, kualitas, migrasi)",Beragam model peserta kompetisi,Pola konsisten: akurasi soundscape jauh lebih rendah dibanding focal,Bukti kuantitatif skala-kompetisi untuk urgensi similarity threshold optimal (RQ2)
6,Internasional,Few-shot bioacoustic event detection at the DCASE 2022 challenge,(Panitia DCASE),2022,arXiv:2207.07911,https://arxiv.org/abs/2207.07911,Anotasi bioakustik mahal; banyak kelas suara satwa hanya punya sedikit contoh berlabel,Melaporkan hasil tantangan few-shot bioacoustic sound event detection DCASE 2022,Baseline template matching (cross-correlation) vs prototypical network (episodic learning),"19 kelas suara (burung, hiena, meerkat), ~14 jam 20 menit, 4686 event berlabel",Prototypical network + transductive learning,F-score tertinggi 60.2% pada evaluation set,Justifikasi metode berbasis jarak/similarity (dekat k-NN) untuk kondisi data minim per spesies
7,Internasional,ESC-50: Dataset for Environmental Sound Classification,"Piczak, K. J.",2015,"Proceedings of the 23rd ACM International Conference on Multimedia, 1015-1018",https://doi.org/10.1145/2733373.2806390,Kurangnya benchmark suara lingkungan yang terstandardisasi dan mudah direproduksi,Menyediakan dataset suara lingkungan berlabel untuk benchmarking,"2000 klip 5 detik, 50 kelas x 40 klip, 5-fold cross-validation",ESC-50 (Freesound.org),CNN baseline (Piczak); jaringan pralatih lebih dalam pada studi lanjutan,64.5% (CNN awal) -> 74.2% (jaringan pralatih lebih dalam),Dataset acuan asli katalog DSIC27-06; dasar protokol evaluasi k-fold
8,Internasional,A Case Study: Using Passive Acoustic Monitoring Devices In A Growing Urban Landscape To Monitor Avian Diversity,(Tim TIFRH Hyderabad),2025,"bioRxiv, 10.1101/2025.07.21.665881",https://www.biorxiv.org/content/10.1101/2025.07.21.665881v1.full,Apakah PAM andal & efisien untuk pemantauan avifauna di lanskap kampus perkotaan biodiverse namun minim data,Menilai efektivitas PAM di kampus TIFRH (200 acre) dibanding survei tradisional,"17 perekam, ~3900 jam rekaman (Nov 2024-Mar 2025); diproses BirdNET analyzer default",Rekaman soundscape kampus TIFRH,BirdNET default (tanpa fine-tuning lokasi),"135 spesies terdeteksi, 59 salah identifikasi -> hanya 56.3% (76 spesies) benar",Preseden langsung RQ2 & RQ3: model global perlu kalibrasi threshold pada kampus spesifik
9,Nasional,Implementasi Model Transfer Learning Arsitektur ConvNeXt untuk Klasifikasi Suara Burung di Taman Nasional Way Kambas,"(Tim peneliti, lihat prosiding)",2025,"Prosiding SainTek, Universitas Terbuka, Vol. 2 No. 1",https://conference.ut.ac.id/index.php/saintek/article/view/5073,"Identifikasi & pemantauan populasi burung TN Way Kambas terkendala SDM, biaya, dan kompleksitas keahlian",Mengimplementasikan transfer learning ConvNeXt untuk klasifikasi suara burung TN Way Kambas & menemukan konfigurasi optimal,"Pendekatan biofoni, ekstraksi Mel Spectrogram, segmentasi klip 5 detik (librosa), dengan/tanpa augmentasi",Rekaman suara burung TN Way Kambas,ConvNeXt (Base) transfer learning,71% (dengan augmentasi data),"Lokasi & arsitektur sama dengan usulan TA; masih closed-set, belum diuji cross-domain ke soundscape lain"
10,Nasional,Klasifikasi Jenis Burung Cucak Berdasarkan Suara Menggunakan MFCC Dan Naive Bayes,"Putra, M. R.; Nurdiyansyah, F.; Rahman, A. Y.",2024,"JURNAL FASILKOM, 14(2), 463-470",https://doi.org/10.37859/jf.v14i2.7558,Identifikasi manual spesies burung famili Pycnonotidae yang bersuara mirip sulit dilakukan,Mengembangkan sistem klasifikasi suara burung berbasis MFCC & Naive Bayes untuk 5 spesies Pycnonotidae,Ekstraksi fitur MFCC + klasifikasi Naive Bayes,120 data suara burung dari Xeno-Canto,Naive Bayes,"52% (terendah) - 90% (tertinggi), bervariasi antarspesies","Baseline MFCC pada Xeno-Canto Indonesia; hanya diuji pada data focal bersih, belum pada kondisi lapangan berderau"
